가격,등급,용량,모델명
955000,S급,128GB,아이폰15
320000,B급,64GB,아이폰12
320000,B급,64GB,아이폰12
440000,B급,256GB,아이폰13미니
220000,B급,64GB,아이폰SE3
220000,B급,64GB,아이폰12미니
220000,B급,64GB,아이폰SE3
220000,B급,64GB,아이폰12미니
400000,S급,128GB,아이폰13미니
170000,A급,128GB,아이폰SE2
270000,B급,128GB,아이폰12미니
430000,B급,128GB,아이폰12프로
700000,S급,256GB,아이폰14
580000,A급,128GB,아이폰14
380000,B급,128GB,아이폰13미니
200000,B급,64GB,아이폰12미니
170000,A급,128GB,아이폰SE2
870000,B급,128GB,아이폰14프로
480000,A급,256GB,아이폰13미니
100000,B급,64GB,아이폰SE
285000,B급,256GB,아이폰11프로
800000,B급,256GB,아이폰13프로
320000,B급,64GB,아이폰12
200000,B급,128GB,아이폰12미니
240000,B급,64GB,아이폰SE3
1300000,B급,256GB,아이폰15프로맥스
1100000,B급,1TB,아이폰14프로
780000,B급,256GB,아이폰13프로맥스
240000,B급,64GB,아이폰SE3
320000,B급,64GB,아이폰12
130000,B급,64GB,아이폰6s
850000,S급,128GB,아이폰SE
1280000,S급,128GB,아이폰15프로
400000,B급,512GB,아이폰XS
380000,S급,256GB,아이폰11프로
1050000,B급,128GB,아이폰15프로
320000,B급,128GB,아이폰12
560000,B급,512GB,아이폰14
300000,B급,128GB,아이폰12
880000,S급,128GB,아이폰15
850000,B급,128GB,아이폰14프로
620000,B급,128GB,아이폰13프로
190000,B급,128GB,아이폰SE2
190000,B급,128GB,아이폰SE2
105000,B급,64GB,아이폰6
450000,B급,256GB,아이폰13
370000,B급,128GB,아이폰12프로
140000,S급,64GB,아이폰6s
650000,B급,128GB,아이폰13미니
200000,B급,64GB,아이폰XR
570000,S급,256GB,아이폰13
140000,S급,64GB,아이폰6s
1030000,B급,256GB,아이폰15프로
990000,S급,512GB,아이폰14프로
950000,B급,512GB,아이폰14프로
1000000,B급,256GB,아이폰14프로
500000,B급,128GB,아이폰14
590000,B급,128GB,아이폰13
100000,A급,16GB,아이폰6
1550000,S급,256GB,아이폰15프로맥스
130000,B급,64GB,아이폰SE
400000,B급,256GB,아이폰12프로
600000,B급,512GB,아이폰13
450000,B급,128GB,아이폰13
170000,B급,256GB,아이폰SE2
750000,B급,256GB,아이폰13프로
200000,B급,128GB,아이폰12미니
1500000,B급,256GB,아이폰15프로
1500000,S급,512GB,아이폰15프로
240000,B급,128GB,아이폰SE
260000,B급,256GB,아이폰11프로
1500000,S급,256GB,아이폰15프로맥스
150000,B급,64GB,아이폰X
450000,B급,256GB,아이폰12프로
290000,B급,128GB,아이폰13미니
270000,B급,128GB,아이폰12
200000,S급,256GB,아이폰SE2
1400000,B급,256GB,아이폰15프로맥스
110000,B급,64GB,아이폰6s
370000,A급,128GB,아이폰13미니
250000,B급,64GB,아이폰12미니
170000,B급,64GB,아이폰SE2
180000,B급,64GB,아이폰SE2
1650000,S급,512GB,아이폰15프로
900000,B급,256GB,아이폰14프로
1500000,B급,512GB,아이폰15프로
650000,B급,256GB,아이폰13프로
1360000,S급,256GB,아이폰15프로
700000,S급,128GB,아이폰12프로맥스
1450000,B급,256GB,아이폰15프로맥스
1250000,B급,128GB,아이폰15프로
1050000,S급,128GB,아이폰15
1300000,B급,1TB,아이폰14프로
860000,S급,128GB,아이폰14
780000,A급,256GB,아이폰13프로
760000,A급,128GB,아이폰14플러스
210000,B급,64GB,아이폰SE2
160000,S급,128GB,아이폰7
510000,B급,256GB,아이폰XS
590000,B급,128GB,아이폰13미니
290000,B급,256GB,아이폰11프로
850000,B급,256GB,아이폰14프로
520000,B급,128GB,아이폰13미니
260000,B급,128GB,아이폰12
1550000,S급,256GB,아이폰15프로맥스
999000,B급,256GB,아이폰14프로
140000,B급,128GB,아이폰7플러스
900000,S급,128GB,아이폰15
120000,B급,128GB,아이폰7
120000,B급,64GB,아이폰8
140000,S급,64GB,아이폰6s
1000000,B급,128GB,아이폰14프로
750000,S급,128GB,아이폰13미니
830000,B급,256GB,아이폰14프로
180000,B급,64GB,아이폰XR
190000,B급,128GB,아이폰7
190000,B급,128GB,아이폰7
900000,B급,256GB,아이폰14
150000,S급,128GB,아이폰7
1260000,S급,128GB,아이폰15프로
350000,B급,256GB,아이폰8플러스
320000,B급,128GB,아이폰12
250000,B급,64GB,아이폰12
730000,B급,256GB,아이폰13프로
250000,B급,128GB,아이폰SE2
150000,B급,256GB,아이폰8
550000,S급,128GB,아이폰13미니
440000,B급,256GB,아이폰13미니
150000,S급,64GB,아이폰8
440000,A급,128GB,아이폰13미니
890000,S급,128GB,아이폰14프로
420000,S급,128GB,아이폰13미니
220000,S급,256GB,아이폰8
250000,B급,128GB,아이폰11
280000,S급,64GB,아이폰11프로
1200000,B급,256GB,아이폰15프로
330000,A급,256GB,아이폰11
280000,S급,64GB,아이폰11프로
280000,A급,64GB,아이폰11프로
130000,B급,128GB,아이폰12미니
350000,B급,128GB,아이폰13미니
320000,B급,64GB,아이폰12
230000,S급,256GB,아이폰8플러스
150000,B급,64GB,아이폰XS
1150000,B급,512GB,아이폰15
1050000,S급,256GB,아이폰15
1480000,B급,256GB,아이폰15프로
360000,B급,256GB,아이폰11프로
1230000,S급,256GB,아이폰15프로
250000,B급,256GB,아이폰x
590000,B급,256GB,아이폰13프로
1590000,B급,256GB,아이폰15프로맥스
320000,B급,128GB,아이폰13미니
680000,S급,256GB,아이폰13프로
380000,B급,256GB,아이폰11프로
200000,S급,64GB,아이폰SE
200000,B급,64GB,아이폰SE
650000,B급,256GB,아이폰13프로
1100000,B급,256GB,아이폰14프로
1500000,B급,256GB,아이폰15프로맥스
1500000,B급,512GB,아이폰15프로맥스
170000,A급,256GB,아이폰SE2
400000,B급,512GB,아이폰11프로
100000,B급,16GB,아이폰5S
1000000,B급,256GB,아이폰14프로
220000,B급,128GB,아이폰SE3
1250000,S급,256GB,아이폰15프로
160000,B급,128GB,아이폰SE2
190000,B급,64GB,아이폰x
210000,B급,128GB,아이폰SE3
140000,B급,64GB,아이폰SE
1050000,S급,128GB,아이폰15
290000,B급,64GB,아이폰11프로
340000,B급,64GB,아이폰12
420000,B급,128GB,아이폰13미니
160000,B급,64GB,아이폰8
110000,S급,16GB,아이폰6s
1500000,B급,256GB,아이폰15프로
420000,S급,128GB,아이폰12프로
800000,B급,128GB,아이폰14프로
800000,B급,128GB,아이폰14프로
190000,B급,64GB,아이폰Xr
320000,B급,256GB,아이폰XS
290000,B급,128GB,아이폰12
150000,B급,64GB,아이폰8
200000,B급,128GB,아이폰13미니
1420000,B급,512GB,아이폰15프로
460000,B급,128GB,아이폰13미니
1000000,B급,256GB,아이폰15
250000,B급,128GB,아이폰12
160000,B급,64GB,아이폰8
210000,B급,64GB,아이폰X
190000,B급,128GB,아이폰SE
990000,B급,128GB,아이폰14프로프로
1350000,B급,256GB,아이폰15프로맥스
750000,B급,128GB,아이폰13프로
1500000,S급,256GB,아이폰15프로맥스
190000,B급,128GB,아이폰12
1650000,S급,256GB,아이폰15프로맥스
1390000,S급,256GB,아이폰15프로맥스
120000,S급,128GB,아이폰7플러스
600000,S급,256GB,아이폰11
1590000,B급,1TB,아이폰14프로
550000,B급,256GB,아이폰12프로
920000,B급,256GB,아이폰15
650000,B급,128GB,아이폰13미니
850000,B급,128GB,아이폰14프로맥스
150000,B급,256GB,아이폰7
1230000,B급,256GB,아이폰15플러스
700000,S급,256GB,아이폰14
850000,B급,256GB,아이폰13프로
180000,S급,64GB,아이폰8
150000,S급,64GB,아이폰8
340000,S급,128GB,아이폰12미니
200000,B급,128GB,아이폰Xr
1000000,B급,128GB,아이폰15플러스
1100000,S급,128GB,아이폰15프로
1300000,S급,512GB,아이폰14프로
670000,A급,256GB,아이폰13프로
200000,B급,256GB,아이폰8
200000,B급,64GB,아이폰X
220000,S급,256GB,아이폰X
250000,S급,256GB,아이폰X
1050000,B급,512GB,아이폰15플러스
600000,B급,256GB,아이폰13프로
480000,B급,256GB,아이폰11프로
510000,B급,256GB,아이폰13미니
500000,B급,128GB,아이폰12프로
220000,B급,64GB,아이폰11
200000,B급,128GB,아이폰12미니
90000,B급,16GB,아이폰6
225000,B급,256GB,아이폰12미니
430000,S급,128GB,아이폰13미니
950000,B급,128GB,아이폰15plus
300000,B급,128GB,아이폰12미니
870000,S급,128GB,아이폰14프로
1250000,B급,1TB,아이폰14프로
1250000,B급,1TB,아이폰14
400000,B급,128GB,아이폰13미니
280000,B급,256GB,아이폰11프로
950000,S급,512GB,아이폰14프로
150000,S급,64GB,아이폰8
470000,S급,128GB,아이폰13
200000,S급,64GB,아이폰8플러스
100000,S급,64GB,아이폰6
530000,B급,256GB,아이폰13
150000,B급,64GB,아이폰8
220000,S급,256GB,아이폰8
540000,B급,128GB,아이폰13미니
900000,B급,256GB,아이폰14프로맥스
450000,B급,256GB,아이폰13프로
900000,B급,256GB,아이폰14프로
1390000,B급,256GB,아이폰15프로맥스
1200000,S급,256GB,아이폰15프로
560000,B급,256GB,아이폰13프로
1100000,B급,256GB,아이폰14프로
180000,S급,128GB,아이폰SE2
1850000,S급,256GB,아이폰15프로맥스
470000,B급,256GB,아이폰13
1380000,S급,256GB,아이폰15프로
185000,B급,128GB,아이폰12미니
800000,S급,256GB,아이폰13프로맥스
660000,B급,256GB,아이폰13프로
110000,B급,128GB,아이폰7
